Timestamp,Axis,Torque_Nm,Torque_pct_of_rated
2025-11-17 09:00:25.000,2,3.742,37.42
2025-11-17 09:00:25.000,3,4.636,51.51
2025-11-17 09:00:25.000,4,2.409,40.15
2025-11-17 09:00:25.000,5,2.273,56.82
2025-11-17 09:00:25.000,6,,
2025-11-17 09:00:25.500,1,2.657,22.14
2025-11-17 09:00:25.500,2,4.148,41.48
2025-11-17 09:00:25.500,3,,
2025-11-17 09:00:25.500,4,3.375,56.25
2025-11-17 09:00:25.500,5,1.804,45.1
2025-11-17 09:00:25.500,6,1.483,49.44
2025-11-17 09:00:26.000,1,,
2025-11-17 09:00:26.000,2,4.238,42.38
2025-11-17 09:00:26.000,3,,
2025-11-17 09:00:26.000,4,3.166,52.77
2025-11-17 09:00:26.000,5,1.982,49.56
2025-11-17 09:00:26.000,6,1.856,61.86
2025-11-17 09:00:27.500,1,4.481,37.34
2025-11-17 09:00:27.500,2,3.429,34.29
2025-11-17 09:00:27.500,3,5.394,59.93
2025-11-17 09:00:27.500,4,3.227,53.79
2025-11-17 09:00:27.500,5,1.819,45.47
2025-11-17 09:00:27.500,6,1.958,65.25
2025-11-17 09:00:29.500,1,3.264,27.2
2025-11-17 09:00:29.500,2,4.63,46.3
2025-11-17 09:00:29.500,3,4.884,54.27
2025-11-17 09:00:29.500,4,2.606,43.43
2025-11-17 09:00:29.500,5,2.508,62.71
2025-11-17 09:00:29.500,6,1.899,63.3
2025-11-17 09:00:30.000,1,4.99,41.58
2025-11-17 09:00:30.000,2,5.517,55.17
2025-11-17 09:00:30.000,3,3.874,43.04
2025-11-17 09:00:30.000,4,2.638,43.97
2025-11-17 09:00:30.000,5,1.915,47.88
2025-11-17 09:00:30.000,6,1.604,53.47
2025-11-17 09:00:31.000,1,4.126,34.38
2025-11-17 09:00:31.000,2,4.273,42.73
2025-11-17 09:00:31.000,3,4.249,47.21
2025-11-17 09:00:31.000,4,3.397,56.62
2025-11-17 09:00:31.000,5,2.204,55.1
2025-11-17 09:00:31.000,6,2.149,71.63
2025-11-17 09:00:33.000,1,3.946,32.88
2025-11-17 09:00:33.000,2,6.176,61.76
2025-11-17 09:00:33.000,3,4.501,50.01
2025-11-17 09:00:33.000,4,2.588,43.14
2025-11-17 09:00:33.000,5,1.857,46.43
2025-11-17 09:00:33.000,6,1.916,63.86
2025-11-17 09:00:33.500,1,3.985,33.21
2025-11-17 09:00:33.500,2,4.571,45.71
2025-11-17 09:00:33.500,3,4.391,48.79
2025-11-17 09:00:33.500,4,2.965,49.42
2025-11-17 09:00:33.500,5,1.929,48.23
2025-11-17 09:00:33.500,6,1.436,47.88
2025-11-17 09:00:34.500,1,3.772,31.43
2025-11-17 09:00:34.500,2,4.685,46.85
2025-11-17 09:00:34.500,3,4.204,46.71
2025-11-17 09:00:34.500,4,2.402,40.03
2025-11-17 09:00:34.500,5,2.256,56.39
2025-11-17 09:00:34.500,6,1.892,63.08
2025-11-17 09:00:36.500,1,3.352,27.93
2025-11-17 09:00:36.500,2,4.123,41.23
2025-11-17 09:00:36.500,3,4.092,45.47
2025-11-17 09:00:36.500,4,2.452,40.86
2025-11-17 09:00:36.500,5,2.314,57.86
2025-11-17 09:00:36.500,6,1.935,64.49
2025-11-17 09:00:37.500,1,5.239,43.66
2025-11-17 09:00:37.500,2,4.843,48.43
2025-11-17 09:00:37.500,3,3.058,33.98
2025-11-17 09:00:37.500,4,2.55,42.5
2025-11-17 09:00:37.500,5,2.365,59.12
2025-11-17 09:00:37.500,6,1.923,64.11
2025-11-17 09:00:38.000,1,4.694,39.12
2025-11-17 09:00:38.000,2,7.082,70.82
2025-11-17 09:00:38.000,3,4.461,49.57
2025-11-17 09:00:38.000,4,3.545,59.08
2025-11-17 09:00:38.000,5,2.505,62.63
2025-11-17 09:00:38.000,6,1.956,65.21
2025-11-17 09:00:39.000,1,3.898,32.48
2025-11-17 09:00:39.000,2,4.607,46.07
2025-11-17 09:00:39.000,3,3.494,38.82
2025-11-17 09:00:39.000,4,2.887,48.11
2025-11-17 09:00:39.000,5,2.045,51.12
2025-11-17 09:00:39.000,6,1.82,60.65
2025-11-17 09:00:41.000,1,6.422,53.52
2025-11-17 09:00:41.000,2,2.506,25.06
2025-11-17 09:00:41.000,3,4.544,50.49
2025-11-17 09:00:41.000,4,2.226,37.1
2025-11-17 09:00:41.000,5,2.049,51.22
2025-11-17 09:00:41.000,6,2.061,68.71
2025-11-17 09:00:41.500,1,4.261,35.51
2025-11-17 09:00:41.500,2,3.138,31.38
2025-11-17 09:00:41.500,3,3.535,39.28
2025-11-17 09:00:41.500,4,3.326,55.44
2025-11-17 09:00:41.500,5,1.966,49.16
2025-11-17 09:00:41.500,6,1.852,61.73
2025-11-17 09:00:42.500,1,4.243,35.36
2025-11-17 09:00:42.500,2,3.479,34.79
2025-11-17 09:00:42.500,3,5.594,62.15
2025-11-17 09:00:42.500,4,3.304,55.07
2025-11-17 09:00:42.500,5,1.552,38.8
2025-11-17 09:00:42.500,6,1.845,61.49
2025-11-17 09:00:43.500,1,3.565,29.71
2025-11-17 09:00:43.500,2,4.682,46.82
2025-11-17 09:00:43.500,3,3.479,38.66
2025-11-17 09:00:43.500,4,2.945,49.08
2025-11-17 09:00:43.500,5,2.362,59.04
2025-11-17 09:00:43.500,6,,
2025-11-17 09:00:45.500,1,3.048,25.4
2025-11-17 09:00:45.500,2,3.732,37.32
2025-11-17 09:00:45.500,3,3.708,41.2
2025-11-17 09:00:45.500,4,2.686,44.77
2025-11-17 09:00:45.500,5,2.765,69.12
2025-11-17 09:00:45.500,6,1.897,63.24
2025-11-17 09:00:46.500,1,14.264,118.87
2025-11-17 09:00:46.500,2,4.734,47.34
2025-11-17 09:00:46.500,3,4.322,48.02
2025-11-17 09:00:46.500,4,3.793,63.21
2025-11-17 09:00:46.500,5,1.776,44.39
2025-11-17 09:00:46.500,6,2.242,74.75
2025-11-17 09:00:47.000,1,3.498,29.15
2025-11-17 09:00:47.000,2,2.976,29.76
2025-11-17 09:00:47.000,3,3.879,43.1
2025-11-17 09:00:47.000,4,3.899,64.98
2025-11-17 09:00:47.000,5,2.194,54.84
2025-11-17 09:00:47.000,6,1.576,52.54
2025-11-17 09:00:48.500,1,2.957,24.64
2025-11-17 09:00:48.500,2,3.916,39.16
2025-11-17 09:00:48.500,3,2.614,29.04
2025-11-17 09:00:48.500,4,2.376,39.6
2025-11-17 09:00:48.500,5,2.694,67.34
2025-11-17 09:00:48.500,6,2.118,70.59
2025-11-17 09:00:50.000,1,4.076,33.97
2025-11-17 09:00:50.000,2,,
2025-11-17 09:00:50.000,3,4.092,45.47
2025-11-17 09:00:50.000,4,4.127,68.78
2025-11-17 09:00:50.000,5,3.963,99.07
2025-11-17 09:00:50.000,6,2.018,67.28
2025-11-17 09:00:51.000,1,4.391,36.59
2025-11-17 09:00:51.000,2,3.52,35.2
2025-11-17 09:00:51.000,3,4.1,45.56
2025-11-17 09:00:51.000,4,2.815,46.92
2025-11-17 09:00:51.000,5,2.236,55.91
2025-11-17 09:00:51.000,6,1.959,65.3
2025-11-17 09:00:52.000,1,5.723,47.69
2025-11-17 09:00:52.000,2,3.01,30.1
2025-11-17 09:00:52.000,3,5.585,62.06
2025-11-17 09:00:52.000,4,2.063,34.38
2025-11-17 09:00:52.000,5,2.152,53.79
2025-11-17 09:00:52.000,6,1.941,64.71
2025-11-17 09:00:53.000,1,4.47,37.25
2025-11-17 09:00:53.000,2,3.502,35.02
2025-11-17 09:00:53.000,3,,
2025-11-17 09:00:53.000,4,2.764,46.06
2025-11-17 09:00:53.000,5,2.012,50.29
2025-11-17 09:00:53.000,6,2.004,66.8
2025-11-17 09:00:55.000,1,4.543,37.86
2025-11-17 09:00:55.000,2,11.072,110.72
2025-11-17 09:00:55.000,3,4.311,47.9
2025-11-17 09:00:55.000,4,3.279,54.65
2025-11-17 09:00:55.000,5,1.998,49.96
2025-11-17 09:00:55.000,6,2.01,67.01
2025-11-17 09:00:56.000,1,4.729,39.41
2025-11-17 09:00:56.000,2,3.432,34.32
2025-11-17 09:00:56.000,3,2.763,30.7
2025-11-17 09:00:56.000,4,2.414,40.24
2025-11-17 09:00:56.000,5,1.986,49.65
2025-11-17 09:00:56.000,6,2.079,69.3
2025-11-17 09:00:57.500,1,5.69,47.42
2025-11-17 09:00:57.500,2,3.648,36.48
2025-11-17 09:00:57.500,3,3.757,41.74
2025-11-17 09:00:57.500,4,3.125,52.09
2025-11-17 09:00:57.500,5,2.204,55.1
2025-11-17 09:00:57.500,6,2.024,67.45
2025-11-17 09:00:59.500,1,3.697,30.81
2025-11-17 09:00:59.500,2,4.759,47.59
2025-11-17 09:00:59.500,3,3.878,43.09
2025-11-17 09:00:59.500,4,3.41,56.83
2025-11-17 09:00:59.500,5,2.113,52.83
2025-11-17 09:00:59.500,6,1.653,55.1
2025-11-17 09:01:00.000,1,6.036,50.3
2025-11-17 09:01:00.000,2,4.852,48.52
2025-11-17 09:01:00.000,3,2.759,30.66
2025-11-17 09:01:00.000,4,2.786,46.43
2025-11-17 09:01:00.000,5,2.586,64.64
2025-11-17 09:01:00.000,6,1.513,50.43
2025-11-17 09:01:01.000,1,4.94,41.17
2025-11-17 09:01:01.000,2,4.534,45.34
2025-11-17 09:01:01.000,3,3.547,39.41
2025-11-17 09:01:01.000,4,2.996,49.93
2025-11-17 09:01:01.000,5,1.531,38.28
2025-11-17 09:01:01.000,6,2.225,74.16
2025-11-17 09:01:01.500,1,3.904,32.53
2025-11-17 09:01:01.500,2,4.643,46.43
2025-11-17 09:01:01.500,3,4.492,49.91
2025-11-17 09:01:01.500,4,3.652,60.86
2025-11-17 09:01:01.500,5,2.061,51.53
2025-11-17 09:01:01.500,6,1.849,61.63
2025-11-17 09:01:02.500,1,4.736,39.47
2025-11-17 09:01:02.500,2,4.698,46.98
2025-11-17 09:01:02.500,3,4.881,54.23
2025-11-17 09:01:02.500,4,2.771,46.18
2025-11-17 09:01:02.500,5,1.988,49.69
2025-11-17 09:01:02.500,6,2.126,70.88
2025-11-17 09:01:04.500,1,2.244,18.7
2025-11-17 09:01:04.500,2,5.256,52.56
2025-11-17 09:01:04.500,3,3.832,42.58
2025-11-17 09:01:04.500,4,2.998,49.96
2025-11-17 09:01:04.500,5,1.982,49.54
2025-11-17 09:01:04.500,6,1.788,59.61
2025-11-17 09:01:06.000,1,5.42,45.17
2025-11-17 09:01:06.000,2,4.617,46.17
2025-11-17 09:01:06.000,3,4.405,48.94
2025-11-17 09:01:06.000,4,3.043,50.71
2025-11-17 09:01:06.000,5,,
2025-11-17 09:01:06.000,6,1.598,53.25
2025-11-17 09:01:08.000,1,3.87,32.25
2025-11-17 09:01:08.000,2,4.366,43.66
2025-11-17 09:01:08.000,3,4.1,45.56
2025-11-17 09:01:08.000,4,3.472,57.87
2025-11-17 09:01:08.000,5,2.352,58.79
2025-11-17 09:01:08.000,6,1.813,60.43
2025-11-17 09:01:09.000,1,6.385,53.21
2025-11-17 09:01:09.000,2,4.325,43.25
2025-11-17 09:01:09.000,3,3.739,41.54
2025-11-17 09:01:09.000,4,3.893,64.88
2025-11-17 09:01:09.000,5,2.584,64.6
2025-11-17 09:01:09.000,6,2.236,74.53
2025-11-17 09:01:10.500,1,4.093,34.11
2025-11-17 09:01:10.500,2,4.781,47.81
2025-11-17 09:01:10.500,3,3.004,33.38
2025-11-17 09:01:10.500,4,3.376,56.27
2025-11-17 09:01:10.500,5,2.15,53.74
2025-11-17 09:01:10.500,6,1.475,49.16
2025-11-17 09:01:11.000,1,5.191,43.26
2025-11-17 09:01:11.000,2,2.552,25.52
2025-11-17 09:01:11.000,3,2.673,29.7
2025-11-17 09:01:11.000,4,3.174,52.9
2025-11-17 09:01:11.000,5,2.383,59.57
2025-11-17 09:01:11.000,6,2.033,67.76
2025-11-17 09:01:12.000,1,4.913,40.94
2025-11-17 09:01:12.000,2,5.181,51.81
2025-11-17 09:01:12.000,3,4.554,50.6
2025-11-17 09:01:12.000,4,2.936,48.94
2025-11-17 09:01:12.000,5,2.176,54.41
2025-11-17 09:01:12.000,6,1.732,57.74
2025-11-17 09:01:12.500,1,4.483,37.36
2025-11-17 09:01:12.500,2,3.122,31.22
2025-11-17 09:01:12.500,3,4.296,47.73
2025-11-17 09:01:12.500,4,2.959,49.31
2025-11-17 09:01:12.500,5,2.288,57.21
2025-11-17 09:01:12.500,6,1.867,62.23
2025-11-17 09:01:14.000,1,1.846,15.38
2025-11-17 09:01:14.000,2,3.279,32.79
2025-11-17 09:01:14.000,3,3.972,44.13
2025-11-17 09:01:14.000,4,2.974,49.56
2025-11-17 09:01:14.000,5,2.283,57.08
2025-11-17 09:01:14.000,6,1.873,62.42
2025-11-17 09:01:15.000,1,5.656,47.13
2025-11-17 09:01:15.000,2,4.25,42.5
2025-11-17 09:01:15.000,3,3.825,42.5
2025-11-17 09:01:15.000,4,,
2025-11-17 09:01:15.000,5,1.762,44.05
2025-11-17 09:01:15.000,6,1.928,64.28
2025-11-17 09:01:16.000,1,5.218,43.48
2025-11-17 09:01:16.000,2,10.395,103.95
2025-11-17 09:01:16.000,3,4.289,47.66
2025-11-17 09:01:16.000,4,2.641,44.01
2025-11-17 09:01:16.000,5,2.696,67.41
2025-11-17 09:01:16.000,6,1.828,60.93
2025-11-17 09:01:17.000,1,5.332,44.43
2025-11-17 09:01:17.000,2,4.054,40.54
2025-11-17 09:01:17.000,3,5.534,61.49
2025-11-17 09:01:17.000,4,,
2025-11-17 09:01:17.000,5,2.12,53.01
2025-11-17 09:01:17.000,6,2.033,67.77
2025-11-17 09:01:19.000,1,4.819,40.16
2025-11-17 09:01:19.000,2,5.095,50.95
2025-11-17 09:01:19.000,3,3.355,37.28
2025-11-17 09:01:19.000,4,,
2025-11-17 09:01:19.000,5,2.539,63.47
2025-11-17 09:01:19.000,6,1.378,45.93
2025-11-17 09:01:19.500,1,3.064,25.53
2025-11-17 09:01:19.500,2,2.369,23.69
2025-11-17 09:01:19.500,3,3.856,42.84
2025-11-17 09:01:19.500,4,3.344,55.74
2025-11-17 09:01:19.500,5,2.681,67.02
2025-11-17 09:01:19.500,6,1.818,60.59
2025-11-17 09:01:20.500,1,5.764,48.03
2025-11-17 09:01:20.500,2,2.896,28.96
2025-11-17 09:01:20.500,3,2.823,31.37
2025-11-17 09:01:20.500,4,2.974,49.56
2025-11-17 09:01:20.500,5,2.323,58.07
2025-11-17 09:01:20.500,6,1.792,59.74
2025-11-17 09:01:21.500,1,2.215,18.46
2025-11-17 09:01:21.500,2,3.929,39.29
2025-11-17 09:01:21.500,3,3.11,34.56
2025-11-17 09:01:21.500,4,3.322,55.36
2025-11-17 09:01:21.500,5,2.317,57.93
2025-11-17 09:01:21.500,6,1.574,52.48
2025-11-17 09:01:23.500,1,3.707,30.89
2025-11-17 09:01:23.500,2,3.153,31.53
2025-11-17 09:01:23.500,3,4.005,44.5
2025-11-17 09:01:23.500,4,3.458,57.64
2025-11-17 09:01:23.500,5,1.884,47.11
2025-11-17 09:01:23.500,6,1.921,64.03
2025-11-17 09:01:25.500,1,3.691,30.76
2025-11-17 09:01:25.500,2,3.366,33.66
2025-11-17 09:01:25.500,3,,
2025-11-17 09:01:25.500,4,,
2025-11-17 09:01:25.500,5,2.023,50.57
2025-11-17 09:01:25.500,6,1.513,50.42
2025-11-17 09:01:26.500,1,6.086,50.72
2025-11-17 09:01:26.500,2,4.028,40.28
2025-11-17 09:01:26.500,3,3.546,39.4
2025-11-17 09:01:26.500,4,3.103,51.71
2025-11-17 09:01:26.500,5,2.164,54.1
2025-11-17 09:01:26.500,6,1.747,58.23
2025-11-17 09:01:27.500,1,4.789,39.91
2025-11-17 09:01:27.500,2,4.606,46.06
2025-11-17 09:01:27.500,3,3.668,40.76
2025-11-17 09:01:27.500,4,2.723,45.39
2025-11-17 09:01:27.500,5,2.112,52.8
2025-11-17 09:01:27.500,6,1.247,41.58
2025-11-17 09:01:28.500,1,2.746,22.88
2025-11-17 09:01:28.500,2,5.093,50.93
2025-11-17 09:01:28.500,3,5.234,58.16
2025-11-17 09:01:28.500,4,2.881,48.01
2025-11-17 09:01:28.500,5,,
2025-11-17 09:01:28.500,6,1.875,62.49
2025-11-17 09:01:30.000,1,7.156,59.63
2025-11-17 09:01:30.000,2,4.896,48.96
2025-11-17 09:01:30.000,3,3.958,43.98
2025-11-17 09:01:30.000,4,2.542,42.36
2025-11-17 09:01:30.000,5,1.686,42.15
2025-11-17 09:01:30.000,6,1.849,61.63
2025-11-17 09:01:30.500,1,3.474,28.95
2025-11-17 09:01:30.500,2,2.862,28.62
2025-11-17 09:01:30.500,3,3.585,39.83
2025-11-17 09:01:30.500,4,2.481,41.35
2025-11-17 09:01:30.500,5,2.74,68.5
2025-11-17 09:01:30.500,6,2.011,67.05
2025-11-17 09:01:31.500,1,4.193,34.94
2025-11-17 09:01:31.500,2,5.184,51.84
2025-11-17 09:01:31.500,3,4.106,45.62
2025-11-17 09:01:31.500,4,2.587,43.11
2025-11-17 09:01:31.500,5,2.687,67.18
2025-11-17 09:01:31.500,6,1.929,64.31
2025-11-17 09:01:32.000,1,3.204,26.7
2025-11-17 09:01:32.000,2,3.848,38.48
2025-11-17 09:01:32.000,3,3.42,38.0
2025-11-17 09:01:32.000,4,2.336,38.94
2025-11-17 09:01:32.000,5,2.496,62.41
2025-11-17 09:01:32.000,6,2.258,75.28
2025-11-17 09:01:33.500,1,2.857,23.81
2025-11-17 09:01:33.500,2,4.45,44.5
2025-11-17 09:01:33.500,3,3.581,39.79
2025-11-17 09:01:33.500,4,5.98,99.66
2025-11-17 09:01:33.500,5,1.935,48.37
2025-11-17 09:01:33.500,6,1.669,55.64
2025-11-17 09:01:35.500,1,1.798,14.98
2025-11-17 09:01:35.500,2,4.548,45.48
2025-11-17 09:01:35.500,3,,
2025-11-17 09:01:35.500,4,2.959,49.32
2025-11-17 09:01:35.500,5,2.276,56.9
2025-11-17 09:01:35.500,6,1.866,62.19
2025-11-17 09:01:36.500,1,3.505,29.21
2025-11-17 09:01:36.500,2,3.574,35.74
2025-11-17 09:01:36.500,3,4.431,49.23
2025-11-17 09:01:36.500,4,3.1,51.66
2025-11-17 09:01:36.500,5,2.854,71.35
2025-11-17 09:01:36.500,6,2.189,72.96
2025-11-17 09:01:37.500,1,5.095,42.46
2025-11-17 09:01:37.500,2,3.391,33.91
2025-11-17 09:01:37.500,3,3.643,40.48
2025-11-17 09:01:37.500,4,2.519,41.98
2025-11-17 09:01:37.500,5,2.29,57.24
2025-11-17 09:01:37.500,6,1.142,38.07
2025-11-17 09:01:39.000,1,3.76,31.33
2025-11-17 09:01:39.000,2,3.755,37.55
2025-11-17 09:01:39.000,3,2.953,32.81
2025-11-17 09:01:39.000,4,3.383,56.38
2025-11-17 09:01:39.000,5,1.836,45.89
2025-11-17 09:01:39.000,6,1.864,62.14
2025-11-17 09:01:40.000,1,6.872,57.27
2025-11-17 09:01:40.000,2,2.711,27.11
2025-11-17 09:01:40.000,3,3.943,43.81
2025-11-17 09:01:40.000,4,2.804,46.74
2025-11-17 09:01:40.000,5,2.007,50.18
2025-11-17 09:01:40.000,6,1.982,66.08
2025-11-17 09:01:42.000,1,5.262,43.85
2025-11-17 09:01:42.000,2,4.617,46.17
2025-11-17 09:01:42.000,3,3.529,39.21
2025-11-17 09:01:42.000,4,4.168,69.47
2025-11-17 09:01:42.000,5,1.634,40.84
2025-11-17 09:01:42.000,6,1.552,51.74
2025-11-17 09:01:43.000,1,4.363,36.36
2025-11-17 09:01:43.000,2,4.072,40.72
2025-11-17 09:01:43.000,3,4.401,48.9
2025-11-17 09:01:43.000,4,3.758,62.64
2025-11-17 09:01:43.000,5,2.162,54.04
2025-11-17 09:01:43.000,6,1.827,60.91
2025-11-17 09:01:44.500,1,3.629,30.24
2025-11-17 09:01:44.500,2,4.471,44.71
2025-11-17 09:01:44.500,3,3.82,42.45
2025-11-17 09:01:44.500,4,2.847,47.45
2025-11-17 09:01:44.500,5,2.374,59.35
2025-11-17 09:01:44.500,6,2.048,68.28
2025-11-17 09:01:45.000,1,2.081,17.34
2025-11-17 09:01:45.000,2,4.289,42.89
2025-11-17 09:01:45.000,3,3.856,42.84
2025-11-17 09:01:45.000,4,3.455,57.58
2025-11-17 09:01:45.000,5,2.12,53.0
2025-11-17 09:01:45.000,6,2.112,70.41
2025-11-17 09:01:46.000,1,3.551,29.59
2025-11-17 09:01:46.000,2,2.216,22.16
2025-11-17 09:01:46.000,3,4.807,53.41
2025-11-17 09:01:46.000,4,2.595,43.25
2025-11-17 09:01:46.000,5,1.694,42.36
2025-11-17 09:01:46.000,6,1.804,60.13
2025-11-17 09:01:47.500,1,3.971,33.09
2025-11-17 09:01:47.500,2,4.658,46.58
2025-11-17 09:01:47.500,3,4.693,52.14
2025-11-17 09:01:47.500,4,3.046,50.76
2025-11-17 09:01:47.500,5,,
2025-11-17 09:01:47.500,6,1.869,62.3
2025-11-17 09:01:48.000,1,4.358,36.32
2025-11-17 09:01:48.000,2,4.455,44.55
2025-11-17 09:01:48.000,3,3.42,38.0
2025-11-17 09:01:48.000,4,2.808,46.8
2025-11-17 09:01:48.000,5,2.363,59.08
